Product Name,Model,Category,Image(s),Specs,Price (INR),Discount Info,Slide No,Brand,Stock Status,Keywords,Usage Description,cloudinary_url
1/2 Impact Wrench (Twin Hammer),DB-I-1670,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/ZcbrPTJLN0mIONGi8K1wWg/LrQ8TGfvIaH6XDTBYMqGkf9pSoYqswPYWJY1SHeC5-1Iquyhm46Phw3rY-vddhV2Jj5eQ_5mKOy0NDs37nvqs5O5roZRthSAVGQHvLrpWDf0JVGwy_VpeAjzFJzaxixxch6CJH17PFkoMJ7om0x0_1Idn43RH0r4zNZNcl8o5DA/mejQLPO0QAdH-E4-oE07M1knQx_RDnGzJL2V4TpafjY),"Square Drive: 1/2, Capacity (Bolt Size): 3./4 / M20, Free Speed (RPM): 8,500, Max Torque: 1143Ft-Lb/1550NM, Overall Length: 5.1/2/139mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 2.5Cfm/71L/min, Net Weight: 2.60Kgs / 5.75Lbs",INR 4320.00,25% off,30,Drebon,,"Impact Wrench, Twin Hammer, Air Tool, Pneumatic Wrench","An air-powered impact wrench featuring a twin hammer mechanism, suitable for various fastening and unfastening tasks requiring high torque.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342156/ltunktgydrqfrv7jyfks.png
1/2 Impact Wrench (Twin Hammer) WITH REAR EXHAUST,DB-I-1680,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/_R2ta8nimr6-yyq0haX5rw/XgHdE0FLgqi8KpLYMz9iDmRvyiLQY38Ol6eA__MIrOaEqjQpMzBdWc1tVnpBRvB4kDgiFGwyfy8RmwsZWWPOddmXx7H-MANqtRHKFgu-eNXxrlL3rb7ESn8O4Z9Ktl9ZuF2L9ZJVml66GwhKINVh_9XXM8olUzlLSZT_xXdorDI/um1wePsNfWKrsb-1Kui-TyBpynBxPRNu2VJ0wAAYkb4),"Square Drive: 1/2, Capacity (Bolt Size): 3/4 / M20, Free Speed (RPM): 8,500, Max Torque: 1217Ft-Lb / 1650NM, Overall Length: 5.1/2 / 139mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 2.5Cfm / 71L/min, Net Weight: 2.70Kgs / 5.95Lbs",INR 4520.00,25% off,30,Drebon,,"Impact Wrench, Twin Hammer, Rear Exhaust, Pneumatic, Air Tool, DB-I-1680",This 1/2 impact wrench with a twin hammer mechanism and rear exhaust is designed for tightening and loosening nuts and bolts with high torque.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342158/bcbfj2txc9nbbedld0ul.png
1/2 Heavy Duty Air Impact Wrench,DB-I-1640,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/8If0AMVp5BDEiFYEXd34Bg/Cx2h8sT5_bS5jUCzlhjq4B5_D2nR-6gyIrWAl-hWK0m2tZpEZ7cQMwN6FGUtCJMY7KGQeax3vM9DCmLbLjInbrEmh_E8QoWJOFBeXfvUtb_ylufTia1lByMDYI3Kh3toiupQxcWHNmQEdifR3fz9UboCoT-cGFfcicUzadYsb_Y/SiuH7f4Qjg-ET_Z4T00rzCqqKdRsdCfv2cdXSV3N7jA),"Square Drive: 1/2, Capacity (Bolt Size): 3/8 / M16, Free Speed (RPM): 7,000, Max Torque: 531Ft-Lb/720NM, Overall Length: 7.3/8/193mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 8Cfm, Net Weight: 2.30Kgs / 5.10Lbs",INR 4740.00,25% off,30,Drebon,,"Heavy Duty Air Impact Wrench, Impact Wrench, Air Tool, DB-I-1640","Used for fastening and loosening nuts and bolts in automotive, construction, or industrial applications.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342159/ynanqtmv6n8ewqf2qpbk.png
1/2 Impact Wrench,DB-I-TU20B,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/MUqIEz93xo9GGK8raWb29w/dSYvYN1gWPqtUkm-S9NO1x-FwpSUeCRTR_93eM6HP8hsLtWIXK3AOQwbyRM751cQ0csajadlO6oka1i2_FlDAg1NtVVxm_FXvv8VFBUiPi2tPhJoLC4uD8sxpMGEC4hkXt-laGPIVlmsJqxFMiEBjIxB8uMtLYNBazmLm-tDG5Q/bjkA2TEaOC4FRFZjSle-b1UkYD0JbVIpJQaiDSCyBwY),"Square Drive: 1/2, Capacity (Bolt Size): 1/2 / M12, Free Speed (RPM): 9,800, Max Torque: 442Ft-Lb/600NM, Overall Length: 5.1/2/139mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 2.5Cfm/71L/min, Net Weight: 1.10Kgs / 2.42Lbs",INR 5460.00,25% off,30,Drebon,,"Impact Wrench, Twin Hammer, Composite Handle, High Torque, New Product","Powerful 1/2 inch impact wrench with twin hammer mechanism and composite handle, designed for various fastening applications requiring high torque.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342159/cz6eavmz9pfconkcxpdd.png
Impact Wrench,DB-IW-601D,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/807x3UL4DT4AKzuHqIi_KQ/JuqH3uH85m1c-Y4-20vQTB80dZRQhYb9YI7c5NYYgU6O1hcJVM0Kl46y-pTjsiXqRs_lk50ssQiAw3qql3tF35sZFyZ8VoxUsMirxUSj7zceH5mnJQPN_png2Q0f0rr7lc2C4FM-3qUJpxK22JuFeM21U63n9wIB42Bkr33JPo0/oNfQhlWgvVqBx-BDiaB-YtPoyopXlcqOULzi5w188eA),"Square Drive: 3/8, Capacity (Bolt Size): 5/8 / M16, Free Speed (RPM): 9,000, Max Torque: 258Ft-Lb/350NM, Overall Length: mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 8Cfm, Net Weight: 2.00Kgs / 4.41Lbs",INR 5200.00,25% off,30,Drebon,,"Impact Wrench, Pneumatic, Air Tool, DB-IW-601D",Used for tightening and loosening nuts and bolts with high torque.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342160/nvjqm4rmnqnhcfzdqgvm.png
1/2 Impact Wrench (Twin Hammer),DB-I-115,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/RXsZmJL6y_nxeKvQwgid_A/wQHEMkhGRPOO1MOXTSoCdPfzc89UDPONTEYxdIRD4kv8EFRYERIvl-RV4WlyMbYbZEHfa5A4NdyEiMb4uY6iwHtvfizzJ8HrtmSMig_7Nc8OnzVc_xvnnFNntkDIXL3DjbhWWxpDC4MzoYw_IsnwVO_e1E1LZlsRuNmfikt7Hvg/r9GPByElMYxzJ0JzKPu2f4EV_RP4GYM2INeHJZ2Drkc),"Square Drive: 1/2, Capacity (Bolt Size): 1/2 / M12, Free Speed (RPM): 9200, Max Torque: 384Ft-Lb/520NM, Overall Length: 5.1/2/139mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg Air Consumption: 2.5Cfm/71L/min, Net Weight: 1.60Kgs / 3.53Lbs",INR 5380.00,25% off,30,Drebon,,"Impact Wrench, Twin Hammer, Air Tool, Pneumatic Wrench, DB-I-115",Used for tightening or loosening nuts and bolts with high torque.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342161/ypb88jhi9nzoz75czg8e.png
1/2 Impact Wrench,DB-I-216,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/pFovecbyxPNGNQnq8p0E_A/Wp-SkeklgQl-hb9zPRNw0ENWkDESGXV0klu2ySzODVYLr4jAylE6XzFYyfIvlRjUps26wp-bcSIa15-HTRQ8vC53Nw1bWXEK--0QZhr6MXnIj3P7d8zOLBQ0jncclV3zANCOiBLVDK4BXa7Ksekaa-G_RfnVDVL2PJhgGtXIojk/7ZVrmTPxKfi1Rml5hkh_GQYkkUaaMZNjLxbY5TYnDqQ),"Square Drive: 1/2, Capacity (Bolt Size): 1/2 / M14, Free Speed (RPM): 7,200, Max Torque: 590Ft-Lb/800NM, Overall Length: 5.1/2/139mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 2.5Cfm/71L/min, Net Weight: 2.36Kgs / 5.21Lbs",INR 5640.00,25% off,30,Drebon,,"Twin Hammer, New Product, Impact Wrench",For tightening and loosening bolts and nuts,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342163/qjhck9kyep0ba9rn5inw.png
1/2 Heavy Duty Air Impact Wrench,DB-I-1640K,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/AQovusetpfDR-P_TDbmQvQ/bmTIAJJma6t1G3br1nAeSPYOUYvZ-lPFfSrpKNET6wNym9vI2YtbDm4xVmqjzP6pTS_NE5T9-yABYXgb7V5Lu-YQyuGPHeT3KCoEjj5YCzcbRN9MefxBDkDKrbCFuDtOjNgRjcCj4NIN9a5q3rdl9l1T2GjBSLcsKINjZtb32Y0/jiUPlmoInlBiSwLz7M8zBgl41yBVaXk9Nwl9jFQp9Vg),"Square Drive: 1/2, Capacity (Bolt Size): 3/8 / M16, Free Speed (RPM): 7,000, Max Torque: 450Ft-Lb/610NM, Overall Length: 7.3/8/193mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 8Cfm, Net Weight: 2.30Kgs / 5.10Lbs",INR 5680.00,25% off,40,Drebon,,"Heavy Duty, Air, Impact Wrench, Torque",Heavy-duty air impact wrench for fastening and loosening bolts with significant torque,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342164/cmkhfmqxsnlqpp1cfn7b.png
1/2 Heavy Duty Air Impact Wrench,DB-I-1660C,Impact Wrench,db.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/1ARJMY-g5byih6lneEQGrg/cLyqKt4NmJrs8jSLHqKcpAMKyKSgF4piOdGJcl64uFhgQd2Uj4X4Htxn5hj8LxYJN-en6x3care2eS24sz9Mn_excMwfWLfG50Tx4kt890oAb2qph5ikB4EDJicIYskTuxfSv1jdmtYKyoqecFvt2mJzlKRDX5_co50PuhDsnpU/tzTbypwE7BrUE6HnZ0NFkDY3jUgByvyQm2xU4W0881A),"Square Drive: 1/2, Capacity (Bolt Size): 3/8 / M16, Free Speed (RPM): 7,000, Max Torque: 625Ft-Lb/850NM, Overall Length: 7.3/8/193mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 8Cfm, Net Weight: 2.30Kgs / 5.10Lbs",INR 6180.00,25% off,40,Drebon,,"Heavy Duty, Air, Impact Wrench, Torque, Bolt Size","This is a 1/2 heavy duty air impact wrench designed for various applications requiring high torque, with a maximum torque of 625Ft-Lb.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342165/urz5195ges9zr66t7fd7.png
1/2 Heavy Duty Twin Hammer Air Impact Wrench,DB-IW-238B1,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/0lhNASYlmtk0CTs2fsU9Bw/GrqXjfuhLBT1hvdUXRqTiKtH5aH3s3fuOQNK1DCXwo17rEYCAOtFBsLhl_2RxylhBVqYMODWrWup2rVfcdsE0dgoNqbKtgMhtt_Bmm2MaxwgZLGO0rt7eK8Bh702Zwz-rOVxheAGj5QD5eNm0kIHUAOMtlCjH4oh73wPy-3Inhc/o6g333QUF2TIAuDba5fSFN0AS8QfZCLl2cWlaTfhhEo),"Square Drive: 1/2, Capacity (Bolt Size): M14 / 9/16, Free Speed (RPM): 10,000, Max Torque: 384Ft-Lb / 520Nm, Overall Length: 120mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 4.70Cfm / 133L/min, Net Weight: 1.55Kgs / 3.42Lbs",INR 6280.00,25% off,40,Drebon,,"Heavy Duty, Twin Hammer, Air, Impact Wrench",A heavy-duty air impact wrench designed for applications requiring high torque and efficient fastening or loosening of bolts.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342166/rdu0qfvqu1bhckxwjjgr.png
1/2 Heavy Duty Air Impact Wrench,DB-I-49,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/szLfPRvDO5ZMS9pY5WRgrg/B47jR-0uhtMkekPOfhuf4Cr9XJoimN6JDUQrbH9U6Ae7gwkK7GNEweTbn7WBGtUgNNk9gePY-5v7R1BMV_vh1DrtyiYihKmV6p_gt7jN3lm52LO5a2eaDnZd1MO0e0NQ2xtk6Mfe04fiUUx3VtsApZH0C0nHAFv75BUXJ_VJi6U/U5HRGswiuNipTpvpb9nJwLjDFW5JEUH4Mwn85r6vcps),"Square Drive: 1/2, Capacity (Bolt Size): 3/8 / M16, Free Speed (RPM): 7,000, Max Torque: 450Ft-Lb/610NM, Overall Length: 7.3/8/193mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 8Cfm, Net Weight: 2.30Kgs / 5.10Lbs",INR 8565.00,25% off,40,Drebon,,"Heavy Duty, Air, Impact Wrench, High Torque, Pneumatic","Used for heavy-duty fastening and loosening applications requiring high torque, powered by compressed air.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342168/kyc0jw0tsk5tifgkpgm9.png
1/2 Composite Industrial Air Impact Wrench,DB-I-116,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/u9GvwMM0rsNiup8VJtreAw/yhh6pfAqkde-ZVhyihyj0W1a0AAYzGYN1YIjXYimsVP1UL-to2iXy3tOo5dJjya33f-9otgA8qiH-Riz3a9DMg-FKtg57ZTXz_96XDrGk1o2t3Z1JINt5lVBOoC_nhzk1XwJXEqzYcBjvDv2IXmHp3RgnJf73QRIu0A-_X1Da9M/dy2R9yKHH9WrWvB_psUcdWwGBLonwRzTxz4yI99H1Dk),"Square Drive: 1/2, Capacity (Bolt Size): M18, Free Speed (RPM): 7,500, Max Torque: 980NM, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 7Cfm / 198L/min, Net Weight: 2.10Kgs / Lbs",INR 8610.00,25% off,40,Drebon,,"Composite, Industrial, Air, Twin Hammer, Impact Wrench",Industrial air impact wrench with twin hammer mechanism for heavy-duty fastening applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342169/gn6z4aji3odilfyluhhx.png
1/2 Heavy Duty Air Impact Wrench,DB-I-44,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/R0J3OKGcbtqNsmOgPrtBdA/kg9RCRhe5NeA0MK83QDG8Yu4QyX0uAgkMXmqw6z_UhOrL2P2oZn9VW2yfQZdD-J9cw_CetbwGDrmtFcXSQ-KjJFv3JQy8oM22z1z8_qF14cFCi_1QBhuo-rn2yXg36adQVG2zj-G3Byvk_QLb2hvvlF0pc2i5owwuVKkt0j0uZY/jKvblE2wCi7eDmvC_sCSFRtIgfpA8gK3B28Y4lUV1zo),"Square Drive: 1/2, Capacity (Bolt Size): 5/8 / M16, Free Speed (RPM): 8000, Max Torque: 500Ft-Lb/678NM, Overall Length: 7.1/8/180mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 4.2Cfm / 119L/min, Net Weight: 2.56Kgs / 5.58Lbs",INR 10300.00,25% off,40,Drebon,,"Heavy Duty, Air, Impact Wrench, Torque, Industrial, Power Tool",Used for heavy-duty fastening and loosening applications requiring high torque.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342170/w0l2toejc3bctmeh3uar.png
1/2 Heavy Duty One Hand Forward Reverse Operated Twin Hammer Mech,DB-AT-650(PRO),Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/VyI9eA6KW9IA7TbiWtFjIg/mCN-mbM5244vWETkiOL-rZGeL2cLIFCWJnfXmEpKip-c_ez-06e36vHge7h-srkgxInHV5Z40HWA6UfbZ_gE8ECeMy_au0rAFQO7oi-3TtpnAe0_BO-5GL6gTDAp7lrW7RUYkfiL4-2WcewKq5us_vwYYVkwjF7xuAOYQLCuKWQ/h6p6uNo3yRy2uXBis06Xw8ygTY58_aRcwmnPoBMXLz0),"Square Drive: 1/2, Capacity (Bolt Size): 5/8 / M16, Free Speed (RPM): 7,000, Working / Max Torque: 750Ft-Lb / 1020Nm, Overall Length: 170mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 38Cfm, Net Weight: 2.14Kgs / 4.70Lbs",INR 13090.00,25% off,40,Drebon,,"Impact Wrench, Heavy Duty, One Hand, Forward Reverse, Twin Hammer, Air Tool, Pneumatic, High Torque, 1/2 Inch Drive","This impact wrench is designed for heavy-duty applications, offering one-hand forward and reverse operation. It features a twin hammer mechanism for efficient performance and a maximum torque of 750 Ft-Lb.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342170/xqqujglbziqimam1pxnt.png
1/2 Heavy Duty Mini Single Hammer Air Impact Wrench,DB-IW-434,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/jxyfqbIQE2MOJX5lWq9Gcw/LzsCZnKWAMMWXrO2oPj3ZINy1ho_xPDUtY7K1OzYlN3v1QckVr06cWtwmic66g8p9kKHzhA2HHxisYnmHSKgRkAiEqTINr7jK-49g0Cu1f8AzJZqxxO50_OXCCItHFqPiXX3xZwc_sjIDJkEA2-gcGWIkmOVGd2G6egSgE7AAhY/YmuMhZq7OUZfoH9Yd3VpHgEjo-cfIBYm5QWpVQzL-1o),"Square Drive: 1/2, Capacity (Bolt Size): M14 / 9/16, Free Speed (RPM): 10,000, Max Torque: 500Ft-Lb / 678Nm, Overall Length: 120mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 4.70Cfm / 133L/min, Net Weight: 1.55Kgs / 3.42Lbs",INR 13425.00,25% off,40,Drebon,,"Heavy Duty, Mini, Single Hammer, Air Impact Wrench, Impact Wrench",Used for fastening and loosening nuts and bolts with high torque.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342171/p1virlxrgo8njkhutpp7.png
1/2 Composite Industrial Air Impact Wrench Twin Hammer,DB-I-16,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/XWsoCVLrVg_9St9BlOz62A/N_wcbO3Y_su2GgqLU5nyxwCt3gHi90RfJM-HnIsNEZlcFlHFbcwnoC40mJ_XPiXFdzUqYY6h0Gvq1ZlL50qhQXu8T_WpMvFAeF-i4xsNsPpeYViOhc3XwbI-oi9radeDZ1BkILKAv9bNVBneRxpJyUZvxFPt1DIhdC-nex70cbo/-3vHjLAqNhEFU8olv0W27h1MIy-ElxjiXhAIXb4mgpA),"Square Drive: 1/2, Capacity (Bolt Size): 5/8 / M16, Free Speed (RPM): 10000, Max Torque: 1000Ft-Lb / 1356NM, Overall Length: 7.3/5 / 193mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 13Cfm / 368L/min, Net Weight: 2.02Kgs / 4.54Lbs",INR 14990.00,25% off,50,Drebon,,"Industrial, Air Impact Wrench, Twin Hammer, Composite, High Torque","A 1/2 composite industrial air impact wrench with twin hammer mechanism, ideal for applications requiring high torque.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342172/dgfafyf9ifgycdz34gkv.png
1/2 Heavy Duty Air Impact Wrench,DB-I-48,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/PQ3TdHmlFclOckBx6Yj7TA/WyNPEJ4r8QvQhv89lrfowjmnVrZABuN6EgCCiH70VwrWt9vHL73Usyco-L4nYcUqvWGEWKhKjm_fD9USvcgB8AejpuGkrz3WopYqI52Gov6vwoxgurS0Z2UL_5VQsTahFFGWkcaIAdX3Io9wRgXEGf-LNIIDDMOuPxEyLqqmlWQ/q_q8gyoJ-8eyG_MJaHHCgdo4_e2UjCq_fRUprN9GQyw),"Square Drive: 1/2, Capacity (Bolt Size): 3/4 / M19, Free Speed (RPM): 7,000, Max Torque: 600Ft-Lb/813NM, Overall Length: 7.21/64/186mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 4.2Cfm / 119L/min, Net Weight: 2.56Kgs / 5.58Lbs",INR 15015.00,25% off,50,Drebon,,"Air Impact Wrench, Heavy Duty, Handle Exhaust, High Torque","Suitable for heavy-duty applications requiring high torque for fastening and loosening bolts, featuring handle exhaust for improved ergonomics.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342173/ijlprifjafoexdtsb2dq.png
1/2 HYDRAULIC DUAL TORQUE CONTROL IMPACT WRENCH TWIN HAMMER,DB-I-4327,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/9d05_61NA6iy5E9DvOXq0w/h37j9A7gZobDY3lonpziCWbPK8LK6jC2J3uEcjw7fGSMDA3-N0HLv711eevXKa5GZqXoav5DI9F7g3zqKxy4UpsoRroKCQj-e51OLvQVZddh5ir00RwhYLTIgSMIfsEKWoaj9TaQ3s1GZtyMYHroLNgdL4pEmbdntNKsA2Ie6w8/dFOUZA7JTDWSgaiP8pwV7pYf6mrQIbSOr1zAZdDY8BA),"Square Drive: 1/2, Capacity (Bolt Size): 3/8 / M16, Free Speed (RPM): 6000, Max Torque: 398Ft-Lb / 540NM, Overall Length: 7.3/8 / 193mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 8Cfm, Net Weight: 2.30Kgs / 5.10Lbs",INR 23750.00,25% off,50,Drebon,,"Hydraulic, Dual Torque Control, Twin Hammer, Impact Wrench, DB-I-4327",Used for tightening and loosening bolts with controlled torque.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342174/xtd6p7apqqx8nna6dxxa.png
3/4 Impact Wrench,DB-I-2485,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/HMMk_2rIRjnr9GTl_FtWGg/W3-Hl02mNPZ_YxscUuI6WRjcn4MS91DiAluYby9EelP6TUaRjLEzlFIbOE-i11oSWVu50ykbKUiuN7fHGCH3V6VMIJy72_ZF7D6JRu03yfQE6pFO2ecvS-XbdXUHQkl-AdwqJAKRWoKgIMwdNGk-QqYnQRD5mzcysxLTEZW75rM/15uRULqrw8p7Atsh0eAyxrko-ygABwg_f7jvttHLoUI),"Square Drive: 3/4, Capacity (Bolt Size): 1 / M30, Free Speed (RPM): 4,300, Max Torque: 1844Ft-Lb / 2500NM, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 2.5Cfm / 71L/min, Net Weight: 7.00Kgs / 15.43Lbs",INR 11600.00,25% off,50,Drebon,,"New Product, Twin Hammer",Powerful 3/4 impact wrench with Twin Hammer mechanism.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342175/lh7xzndnnw09ji1eh304.png
3/4 Impact Wrench,DB-I-06,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/Uozf5KgGVYCEFMF0Yp3psQ/AALPDh-18MTME70JqaZm_JSS_yvi9v33NU6vOLLkNWvWHDXIc9n58B_P097M0JTKebR7i2YhLWYCnZ7wBDWTE6WDxji9kkvZOIMR0NOhz5m5MN49b_R0e4VB1FVcv5t4gJt_2iv6zJ-fmtmWrMQxhQubMc4WNNqWcFLkNV7q9zE/Asw_9m13iZOG2zF2Wyd__VckQGJif5DU5a1wLOzWydE),"Square Drive: 3/4, Capacity (Bolt Size): 23/32 / M18, Free Speed (RPM): 4,500, Max Torque: 885Ft-Lb / 1200NM, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 2.5Cfm / 71L/min, Net Weight: 5.25Kgs / 11.57Lbs",INR 12150.00,25% off,50,Drebon,,"New Product, Twin Hammer","A heavy-duty 3/4 air impact wrench delivering 1200Nm torque at 4,500 RPM, built for tough fastening and loosening of large bolts up to M18 in automotive, construction, and industrial applications.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342177/ue7zytwcvfm814sdhjs6.png
3/4 Air Impact Wrench,DB-I-2475,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/BRFzx8gCTf6yV2Pe6dmaqw/RG0CXPw_aCrSRXTwFtfsmrSW1H1_cNxDDVpObC-FLTJ9jM4mJgCUM8-OVg5PGYQKqUXeVSMdx3dE0hVK59lG26B41s8sjTVdDue6cs70mizVs7vifQo5hVQJwD6pxXIYiJcoFq8BNBLTEBtY4DhLjSfNh4yGYAaLSinuarrnBUg/lsvxUwYsEaEWR1fEBFu0EpoIX98sh5KjK30mUaK5tOo),"Square Drive: 3/4, Capacity (Bolt Size): M25, Free Speed (RPM): 6000, Max Torque: 885Ft-Lb/1200NM, Air Inlet (Pt/Npt): 3/8, Air Hose (ID): 3/8, Avg. Air Consumption: 7Cfm / 198L/min, Net Weight: 4.80Kgs / 10.58Lbs",INR 11910.00,25% off,50,Drebon,,"air impact wrench, pneumatic wrench, heavy duty, high torque, industrial tool","Used for fastening and loosening nuts and bolts with high torque, typically in automotive, construction, and industrial applications.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342178/cp0qbs1bidju6fd7eync.png
3/4 Heavy Duty Air Impact Wrench,DB-I-66,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/LmMswJP5_4uX3Jj3RGDvcA/OA4f-N6bKJU5fV2AQCuEQcvm2BhaDFC0gkxiCd1klTv5Kej8fjGOC_L23zI3mcfgmM9AmEzvvfZhWe7r0MsXZWTf3yrV1RRt8bVysI_Juyq3qILVb73sRlwVuWAltzOHKAICniw9gqh7Z_XofYIpvFJiNpWaYvSSFs7sAW8hDoQ/jXHa_DAyVMgeJBYrcWS0Ijp0YCqTItezd4TlVnEl2ko),"Square Drive: 3/4, Capacity (Bolt Size): 1 / M26, Free Speed (RPM): 6,500, Max Torque: 750Ft-Lb / 1016NM, Overall Length: 9.19/64 / 236mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 7Cfm / 198L/min, Net Weight: 4.55Kgs / 10Lbs",INR 24850.00,25% off,50,Drebon,,"Heavy Duty, Air Impact Wrench, Twin Hammer, 750Ft-Lb, DB-I-66","A heavy-duty air impact wrench featuring a twin hammer mechanism, ideal for applications requiring a maximum torque of 750Ft-Lb.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342179/p3bdl5ovacgcnylhvxki.png
